Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"F05",Rare Event Detection,"RED","POS 1",Ch1Positive Control,"N1","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.2,0,0,17515,0,0,0,17515,0,17515,,,,,,,,,,,,,,,,,,1,1,6379,0,3946.6,3946.6,"Rare Event Detection Experiment",,,,0.092,0,,,,,,,,,,,,,
"F06",Rare Event Detection,"RED","POS 3",Ch1Positive Control,"N1","Manual",119,One-Step RT-ddPCR Kit for Probes,2380,,,124.3,116.2,1912,17969,1849,63,1,17968,115,19881,,,,,,,,,,,,,,,,,,1,1,6379,14594,2139.1,3336.9,"Rare Event Detection Experiment",,,,120,0,,,,,,,,,,,,,
"F07",Rare Event Detection,"RED","NEG 3",Ch1Negative Control,"N1","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.19,0,0,18545,0,0,0,18545,0,18545,,,,,,,,,,,,,,,,,,1,1,6379,0,2742.4,2742.4,"Rare Event Detection Experiment",,,,0.087,0,,,,,,,,,,,,,
"F08",Rare Event Detection,"RED","NTC",Ch1NTC,"N1","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.18,0,0,19765,0,0,0,19765,0,19765,,,,,,,,,,,,,,,,,,1,1,6379,0,2739,2739,"Rare Event Detection Experiment",,,,0.081,0,,,,,,,,,,,,,
"G01",Rare Event Detection,"RED","AA210427S",Ch1Unknown,"N1","Manual",2.6,One-Step RT-ddPCR Kit for Probes,52,,,3.6,2.2,37,16636,35,2,3,16633,2.47,16673,,,,,,,,0.97,,,1.42,0.53,49,,,61,38,1,1,6379,11161,2939.1,2957.3,"Rare Event Detection Experiment",,,,3.1,0,,,,,,,1.2,0.75,,,55,44,
"G02",Rare Event Detection,"RED","AA210427S",Ch1Unknown,"N1","Manual",2.9,One-Step RT-ddPCR Kit for Probes,58,,,4,2.4,35,14204,32,3,0,14204,2.65,14239,,,,,,,,1.1,,,1.6,0.6,52,,,64,40,1,1,6379,11015,2958.8,2978.6,"Rare Event Detection Experiment",,,,3.4,0,,,,,,,1.36,0.83,,,58,46,
"G03",Rare Event Detection,"RED","AA210427S-",Ch1Unknown,"N1","Manual",3.2,One-Step RT-ddPCR Kit for Probes,64,,,4.3,2.7,37,13695,36,1,6,13689,3.09,13732,,,,,,,,0.88,,,1.27,0.49,47,,,58,36,1,1,6379,10784,2975.4,2996.4,"Rare Event Detection Experiment",,,,3.7,0,,,,,,,1.08,0.68,,,52,41,
"G04",Rare Event Detection,"RED","AA210427S-",Ch1Unknown,"N1","Manual",3.8,One-Step RT-ddPCR Kit for Probes,76,,,5,3.3,45,13853,44,1,0,13853,3.73,13898,,,,,,,,1.02,,,1.45,0.6,51,,,61,40,1,1,6379,11130,2933.2,2959.8,"Rare Event Detection Experiment",,,,4.4,0,,,,,,,1.24,0.81,,,56,45,
"G05",Rare Event Detection,"RED","POS 2",Ch1Positive Control,"N1","Manual",66,One-Step RT-ddPCR Kit for Probes,1320,,,69.8,64.1,1144,19821,1128,16,1,19820,65.1,20965,,,,,,,,,,,,,,,,,,1,1,6379,16593,2753.1,3508.3,"Rare Event Detection Experiment",,,,68,0,,,,,,,,,,,,,
"G06",Rare Event Detection,"RED","NEG 1",Ch1Negative Control,"N1","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.18,0,0,19988,0,0,0,19988,0,19988,,,,,,,,,,,,,,,,,,1,1,6379,0,2832.5,2832.5,"Rare Event Detection Experiment",,,,0.081,0,,,,,,,,,,,,,
"G07",Rare Event Detection,"RED","NTC",Ch1NTC,"N1","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.18,0,0,19779,0,0,0,19779,0,19779,,,,,,,,,,,,,,,,,,1,1,6379,0,2633.5,2633.5,"Rare Event Detection Experiment",,,,0.081,0,,,,,,,,,,,,,
"G08",Rare Event Detection,"RED","NTC",Ch1NTC,"N1","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.18,0,0,19428,0,0,0,19428,0,19428,,,,,,,,,,,,,,,,,,1,1,6379,0,2708.9,2708.9,"Rare Event Detection Experiment",,,,0.083,0,,,,,,,,,,,,,
"H01",Rare Event Detection,"RED","AA210428S",Ch1Unknown,"N1","Manual",1.36,One-Step RT-ddPCR Kit for Probes,27.2,,,2.05,1.08,20,17315,19,1,0,17315,1.29,17335,,,,,,,,1.1,,,1.7,0.4,51,,,67,35,1,1,6379,10814,2828.5,2837.7,"Rare Event Detection Experiment",,,,1.7,0,,,,,,,1.39,0.72,,,59,43,
"H02",Rare Event Detection,"RED","AA210428S",Ch1Unknown,"N1","Manual",0.89,One-Step RT-ddPCR Kit for Probes,17.8,,,1.57,0.64,10,13156,9,1,0,13156,0.804,13166,,,,,,,,1.1,,,2.1,0.1,53,,,76,30,1,1,6379,11258,2934,2940.3,"Rare Event Detection Experiment",,,,1.2,0,,,,,,,1.6,0.6,,,64,41,
"H03",Rare Event Detection,"RED","AA210428S-",Ch1Unknown,"N1","Manual",2.7,One-Step RT-ddPCR Kit for Probes,54,,,7.1,1.4,3,1318,3,0,1,1317,2.67,1321,,,,,,,,0.7,,,1.9,0,43,,,82,4,1,1,6379,10289,3049,3065.5,"Rare Event Detection Experiment",,,,4.6,0,,,,,,,1.3,0.2,,,62,24,
"H04",Rare Event Detection,"RED","AA210428S-",Ch1Unknown,"N1","CHECK",No Call,One-Step RT-ddPCR Kit for Probes,,,,,,2,774,1,1,0,774,1.52,776,,,,,,,,,,,,,,,,,,1,1,6379,9005.6,3007.5,3022.9,"Rare Event Detection Experiment",,,,,,,,,,,,,,,,,,
"H05",Rare Event Detection,"RED","POS 2",Ch1Positive Control,"N1","Manual",56.5,One-Step RT-ddPCR Kit for Probes,1130,,,60,54.7,998,20279,981,17,0,20279,55.5,21277,,,,,,,,,,,,,,,,,,1,1,6379,16602,2728.2,3378.9,"Rare Event Detection Experiment",,,,58,0,,,,,,,,,,,,,
