Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"H06",Rare Event Detection,"RED","YC210218S",Ch1Unknown,"N1","Manual",2,One-Step RT-ddPCR Kit for Probes,40,,,3,1.3,23,13305,21,2,0,13305,1.86,13328,,,,,,,,1.1,,,1.7,0.4,52,,,67,37,1,1,8015,12400,3699,3714,"Rare Event Detection Experiment",,,,2.49,1.64,,,,,,,1.43,0.76,,,60,45,
"A07",Rare Event Detection,"RED","YC210111S-",Ch1Unknown,"N1","Manual",3.1,One-Step RT-ddPCR Kit for Probes,62,,,4.2,2.2,38,14555,38,0,0,14555,3.07,14593,,,,,,,,1,,,1.45,0.55,50,,,61,39,1,1,8015,13315,3937.4,3961.8,"Rare Event Detection Experiment",,,,3.59,2.6,,,,,,,1.23,0.77,,,56,44,
"B07",Rare Event Detection,"RED","YC210112S-",Ch1Unknown,"N1","Manual",2.4,One-Step RT-ddPCR Kit for Probes,48,,,3.2,1.7,34,16928,32,2,0,16928,2.22,16962,,,,,,,,1.1,,,1.6,0.5,52,,,64,39,1,1,8015,12847,3871,3889,"Rare Event Detection Experiment",,,,2.79,1.98,,,,,,,1.32,0.8,,,58,45,
"C07",Rare Event Detection,"RED","YC210113S-",Ch1Unknown,"N1","Manual",1.6,One-Step RT-ddPCR Kit for Probes,32,,,2.3,1,21,15791,20,1,0,15791,1.49,15812,,,,,,,,1.1,,,1.7,0.4,51,,,67,36,1,1,8015,12620,4156.4,4167.7,"Rare Event Detection Experiment",,,,1.93,1.25,,,,,,,1.38,0.72,,,59,43,
"D07",Rare Event Detection,"RED","YC210114S-",Ch1Unknown,"N1","Manual",4.5,One-Step RT-ddPCR Kit for Probes,90,,,5.6,3.5,68,17862,42,26,2,17860,2.76,17930,,,,,,,,1.5,,,2.1,1,61,,,70,52,1,1,8015,10125,3465.6,3490.9,"Rare Event Detection Experiment",,,,5,4,,,,,,,1.85,1.25,,,65.3,56.1,
"E07",Rare Event Detection,"RED","YC210128S-",Ch1Unknown,"N1","Manual",1.3,One-Step RT-ddPCR Kit for Probes,26,,,2,0.8,18,16284,17,1,0,16284,1.23,16302,,,,,,,,1.1,,,1.8,0.3,51,,,68,35,1,1,8015,12392,3793,3802.5,"Rare Event Detection Experiment",,,,1.63,1.02,,,,,,,1.42,0.7,,,60,43,
"F07",Rare Event Detection,"RED","YC210129S-",Ch1Unknown,"N1","Manual",1,One-Step RT-ddPCR Kit for Probes,20,,,1.6,0.5,14,17133,14,0,0,17133,0.961,17147,,,,,,,,1,,,1.8,0.2,50,,,69,31,1,1,8015,12834,3943.7,3950.9,"Rare Event Detection Experiment",,,,1.24,0.73,,,,,,,1.38,0.62,,,59,41,
"G07",Rare Event Detection,"RED","YC210217S-",Ch1Unknown,"N1","CHECK",No Call,One-Step RT-ddPCR Kit for Probes,,,,,,0,859,0,0,0,859,0,859,,,,,,,,,,,,,,,,,,1,1,8015,0,4353.7,4353.7,"Rare Event Detection Experiment",,,,,,,,,,,,,,,,,,
"H07",Rare Event Detection,"RED","YC210218S-",Ch1Unknown,"N1","Manual",0.9,One-Step RT-ddPCR Kit for Probes,18,,,1.5,0.5,11,14499,11,0,0,14499,0.892,14510,,,,,,,,1,,,1.9,0.1,50,,,71,29,1,1,8015,12047,3707.7,3714.1,"Rare Event Detection Experiment",,,,1.19,0.65,,,,,,,1.43,0.57,,,61,39,
"A08",Rare Event Detection,"RED","YC210111S-",Ch1Unknown,"N1","Manual",3.4,One-Step RT-ddPCR Kit for Probes,68,,,4.3,2.6,56,19561,56,0,1,19560,3.36,19617,,,,,,,,0.98,,,1.35,0.62,50,,,59,40,1,1,8015,12866,4098,4123.1,"Rare Event Detection Experiment",,,,3.83,2.93,,,,,,,1.17,0.8,,,54.3,44.9,
